VerbAnalysis,CoreAnalysis,Person,Number,Tense,Mood,Voice,Gender,Case,PerseusType
urn:cite:hclat:verbAnalyses.181,urn:cite:hclat:analyses.1326,,singular,present,participle,active,neuter,vocative,conj2
urn:cite:hclat:verbAnalyses.182,urn:cite:hclat:analyses.1346,,,,supine,,,,pp4
urn:cite:hclat:verbAnalyses.183,urn:cite:hclat:analyses.1346,,plural,perfect,participle,passive,masculine,genitive,pp4
urn:cite:hclat:verbAnalyses.184,urn:cite:hclat:analyses.1346,,plural,perfect,participle,passive,neuter,genitive,pp4
urn:cite:hclat:verbAnalyses.185,urn:cite:hclat:analyses.1346,,singular,perfect,participle,passive,masculine,accusative,pp4
urn:cite:hclat:verbAnalyses.186,urn:cite:hclat:analyses.1346,,singular,perfect,participle,passive,neuter,accusative,pp4
urn:cite:hclat:verbAnalyses.187,urn:cite:hclat:analyses.1346,,singular,perfect,participle,passive,neuter,nominative,pp4
urn:cite:hclat:verbAnalyses.188,urn:cite:hclat:analyses.1346,,singular,perfect,participle,passive,neuter,vocative,pp4
urn:cite:hclat:verbAnalyses.189,urn:cite:hclat:analyses.135,1st,singular,present,indicative,active,,,conj1
urn:cite:hclat:verbAnalyses.190,urn:cite:hclat:analyses.1352,3rd,singular,present,subjunctive,passive,,,conj2
urn:cite:hclat:verbAnalyses.191,urn:cite:hclat:analyses.1376,1st,singular,present,indicative,active,,,conj1
urn:cite:hclat:verbAnalyses.192,urn:cite:hclat:analyses.1383,3rd,plural,present,subjunctive,active,,,conj3
urn:cite:hclat:verbAnalyses.193,urn:cite:hclat:analyses.1384,1st,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.194,urn:cite:hclat:analyses.1384,2nd,singular,present,imperative,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.195,urn:cite:hclat:analyses.1386,3rd,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.196,urn:cite:hclat:analyses.1404,3rd,singular,pluperfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.197,urn:cite:hclat:analyses.1416,,singular,perfect,participle,passive,masculine,nominative,pp4
urn:cite:hclat:verbAnalyses.198,urn:cite:hclat:analyses.1419,1st,singular,present,indicative,active,,,conj1
urn:cite:hclat:verbAnalyses.199,urn:cite:hclat:analyses.1427,,,present,infinitive,passive,,,conj3
urn:cite:hclat:verbAnalyses.200,urn:cite:hclat:analyses.1431,,singular,present,participle,active,feminine,ablative,conj2
urn:cite:hclat:verbAnalyses.201,urn:cite:hclat:analyses.1431,,singular,present,participle,active,feminine,dative,conj2
urn:cite:hclat:verbAnalyses.202,urn:cite:hclat:analyses.1431,,singular,present,participle,active,masculine,ablative,conj2
urn:cite:hclat:verbAnalyses.203,urn:cite:hclat:analyses.1431,,singular,present,participle,active,masculine,dative,conj2
urn:cite:hclat:verbAnalyses.204,urn:cite:hclat:analyses.1431,,singular,present,participle,active,neuter,ablative,conj2
urn:cite:hclat:verbAnalyses.205,urn:cite:hclat:analyses.1431,,singular,present,participle,active,neuter,dative,conj2
urn:cite:hclat:verbAnalyses.206,urn:cite:hclat:analyses.1441,2nd,singular,future,indicative,active,,,conj3
urn:cite:hclat:verbAnalyses.207,urn:cite:hclat:analyses.1448,1st,singular,present,indicative,active,,,conj1
urn:cite:hclat:verbAnalyses.208,urn:cite:hclat:analyses.1449,,singular,perfect,participle,passive,masculine,ablative,pp4
urn:cite:hclat:verbAnalyses.209,urn:cite:hclat:analyses.1449,,singular,perfect,participle,passive,masculine,dative,pp4
urn:cite:hclat:verbAnalyses.210,urn:cite:hclat:analyses.1449,,singular,perfect,participle,passive,neuter,ablative,pp4
urn:cite:hclat:verbAnalyses.211,urn:cite:hclat:analyses.1449,,singular,perfect,participle,passive,neuter,dative,pp4
urn:cite:hclat:verbAnalyses.212,urn:cite:hclat:analyses.1449,2nd,singular,future,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.213,urn:cite:hclat:analyses.1449,3rd,singular,future,imperative,active,,,conj1
