Lemma,LexEntity
praeficio,urn:cite:perseus:latlexent.lex41995.1
praemium,urn:cite:perseus:latlexent.lex42166.1
praepono,urn:cite:perseus:latlexent.lex42261.1
praepositus,urn:cite:perseus:latlexent.lex42267.1
praetextatus,urn:cite:perseus:latlexent.lex42532.1
praetor,urn:cite:perseus:latlexent.lex42541.1
praetorium,urn:cite:perseus:latlexent.lex42546.1
praetorius,urn:cite:perseus:latlexent.lex42547.1
praetorqueo,urn:cite:perseus:latlexent.lex42548.1
primigenius,urn:cite:perseus:latlexent.lex42711.1
primitivus,urn:cite:perseus:latlexent.lex42723.1
primo,urn:cite:perseus:latlexent.lex42726.1
primus,urn:cite:perseus:latlexent.lex42742.1
princeps,urn:cite:perseus:latlexent.lex42743.1
principium,urn:cite:perseus:latlexent.lex42750.1
priscus,urn:cite:perseus:latlexent.lex42757.1
privatus,urn:cite:perseus:latlexent.lex42773.1
privo,urn:cite:perseus:latlexent.lex42780.1
pro,urn:cite:perseus:latlexent.lex42783.1
pro,urn:cite:perseus:latlexent.lex42784.1
probo,urn:cite:perseus:latlexent.lex42813.1
probus,urn:cite:perseus:latlexent.lex42823.1
proconsul,urn:cite:perseus:latlexent.lex42879.1
proconsularis,urn:cite:perseus:latlexent.lex42880.1
procurator,urn:cite:perseus:latlexent.lex42904.1
procuratorius,urn:cite:perseus:latlexent.lex42905.1
procus,urn:cite:perseus:latlexent.lex42918.1
procus,urn:cite:perseus:latlexent.lex42919.1
prodo,urn:cite:perseus:latlexent.lex42951.1
profanus,urn:cite:perseus:latlexent.lex42984.1
promereo,urn:cite:perseus:latlexent.lex43153.1
promotus,urn:cite:perseus:latlexent.lex43183.1
promoveo,urn:cite:perseus:latlexent.lex43185.1
pronepos,urn:cite:perseus:latlexent.lex43218.1
propago,urn:cite:perseus:latlexent.lex43252.1
propugnaculum,urn:cite:perseus:latlexent.lex43352.1
provincia,urn:cite:perseus:latlexent.lex43591.1
prudentia,urn:cite:perseus:latlexent.lex43631.1
publico,urn:cite:perseus:latlexent.lex43751.1
publicus,urn:cite:perseus:latlexent.lex43752.1
quaestor,urn:cite:perseus:latlexent.lex44251.1
quaestorius,urn:cite:perseus:latlexent.lex44253.1
quam,urn:cite:perseus:latlexent.lex44271.1
queo,urn:cite:perseus:latlexent.lex44380.1
qui,urn:cite:perseus:latlexent.lex44409.1
qui,urn:cite:perseus:latlexent.lex44410.1
quicumque,urn:cite:perseus:latlexent.lex44417.1
quinquennalis,urn:cite:perseus:latlexent.lex44489.1
quintus,urn:cite:perseus:latlexent.lex44524.1
quis,urn:cite:perseus:latlexent.lex44536.1
quis,urn:cite:perseus:latlexent.lex44537.1
quo,urn:cite:perseus:latlexent.lex44550.1
quot,urn:cite:perseus:latlexent.lex44587.1
rabidus,urn:cite:perseus:latlexent.lex44613.1
rado,urn:cite:perseus:latlexent.lex44650.1
rapio,urn:cite:perseus:latlexent.lex44699.1
rapto,urn:cite:perseus:latlexent.lex44707.1
raptor,urn:cite:perseus:latlexent.lex44708.1
rarus,urn:cite:perseus:latlexent.lex44725.1
rasis,urn:cite:perseus:latlexent.lex44729.1
ravio,urn:cite:perseus:latlexent.lex44774.1
ravus,urn:cite:perseus:latlexent.lex44777.1
ravus,urn:cite:perseus:latlexent.lex44778.1
rector,urn:cite:perseus:latlexent.lex44957.1
reddo,urn:cite:perseus:latlexent.lex45009.1
redemptio,urn:cite:perseus:latlexent.lex45011.1
redeo,urn:cite:perseus:latlexent.lex45018.1
redigo,urn:cite:perseus:latlexent.lex45026.1
reficio,urn:cite:perseus:latlexent.lex45097.1
regio,urn:cite:perseus:latlexent.lex45200.1
regnum,urn:cite:perseus:latlexent.lex45211.1
rego,urn:cite:perseus:latlexent.lex45212.1
reliquus,urn:cite:perseus:latlexent.lex45293.1
reor,urn:cite:perseus:latlexent.lex45437.1
res,urn:cite:perseus:latlexent.lex45597.1
restituo,urn:cite:perseus:latlexent.lex45729.1
reus,urn:cite:perseus:latlexent.lex45867.1
rex,urn:cite:perseus:latlexent.lex45939.1
rubeus,urn:cite:perseus:latlexent.lex46170.1
rubeus,urn:cite:perseus:latlexent.lex46171.1
rufus,urn:cite:perseus:latlexent.lex46218.1
ruina,urn:cite:perseus:latlexent.lex46228.1
rus,urn:cite:perseus:latlexent.lex46282.1
sacer,urn:cite:perseus:latlexent.lex46356.1
sacerdos,urn:cite:perseus:latlexent.lex46357.1
sacramentum,urn:cite:perseus:latlexent.lex46370.1
sacrum,urn:cite:perseus:latlexent.lex46397.1
saeptum,urn:cite:perseus:latlexent.lex46414.1
salio,urn:cite:perseus:latlexent.lex46496.1
salio,urn:cite:perseus:latlexent.lex46497.1
salus,urn:cite:perseus:latlexent.lex46561.1
sancio,urn:cite:perseus:latlexent.lex46609.1
sanctus,urn:cite:perseus:latlexent.lex46625.1
sano,urn:cite:perseus:latlexent.lex46666.1
sanus,urn:cite:perseus:latlexent.lex46668.1
saxum,urn:cite:perseus:latlexent.lex46850.1
scarus,urn:cite:perseus:latlexent.lex46936.1
scio,urn:cite:perseus:latlexent.lex47012.1
scius,urn:cite:perseus:latlexent.lex47047.1
secundo,urn:cite:perseus:latlexent.lex47267.1
secundo,urn:cite:perseus:latlexent.lex47268.1
secundus,urn:cite:perseus:latlexent.lex47270.1
semper,urn:cite:perseus:latlexent.lex47565.1
senatus,urn:cite:perseus:latlexent.lex47584.1
senex,urn:cite:perseus:latlexent.lex47594.1
seni,urn:cite:perseus:latlexent.lex47595.1
septimus,urn:cite:perseus:latlexent.lex47720.1
sequor,urn:cite:perseus:latlexent.lex47769.1
serapias,urn:cite:perseus:latlexent.lex47774.1
serapion,urn:cite:perseus:latlexent.lex47775.1
sero,urn:cite:perseus:latlexent.lex47815.1
sero,urn:cite:perseus:latlexent.lex47816.1
servus,urn:cite:perseus:latlexent.lex47878.1
severus,urn:cite:perseus:latlexent.lex47949.1
sevir,urn:cite:perseus:latlexent.lex47950.1
sex,urn:cite:perseus:latlexent.lex47955.1
sicuti,urn:cite:perseus:latlexent.lex48051.1
silurus,urn:cite:perseus:latlexent.lex48136.1
sima,urn:cite:perseus:latlexent.lex48149.1
simo,urn:cite:perseus:latlexent.lex48165.1
simus,urn:cite:perseus:latlexent.lex48200.1
sine,urn:cite:perseus:latlexent.lex48215.1
sino,urn:cite:perseus:latlexent.lex48240.1
sinum,urn:cite:perseus:latlexent.lex48245.1
sodalis,urn:cite:perseus:latlexent.lex48371.1
sol,urn:cite:perseus:latlexent.lex48376.1
sophia,urn:cite:perseus:latlexent.lex48516.1
spectaculum,urn:cite:perseus:latlexent.lex48652.1
splendidus,urn:cite:perseus:latlexent.lex48792.1
stator,urn:cite:perseus:latlexent.lex48975.1
statua,urn:cite:perseus:latlexent.lex48976.1
statuo,urn:cite:perseus:latlexent.lex48985.1
status,urn:cite:perseus:latlexent.lex48989.1
stephanos,urn:cite:perseus:latlexent.lex49016.1
sto,urn:cite:perseus:latlexent.lex49117.1
struo,urn:cite:perseus:latlexent.lex49266.1
subjaceo,urn:cite:perseus:latlexent.lex49532.1
subtraho,urn:cite:perseus:latlexent.lex49823.1
successor,urn:cite:perseus:latlexent.lex49904.1
sui,urn:cite:perseus:latlexent.lex50120.1
sum,urn:cite:perseus:latlexent.lex50141.1
suo,urn:cite:perseus:latlexent.lex50210.1
superstitio,urn:cite:perseus:latlexent.lex50492.1
supra,urn:cite:perseus:latlexent.lex50627.1
sus,urn:cite:perseus:latlexent.lex50704.1
sustineo,urn:cite:perseus:latlexent.lex50756.1
suus,urn:cite:perseus:latlexent.lex50781.1
syntrophus,urn:cite:perseus:latlexent.lex50864.1
tabula,urn:cite:perseus:latlexent.lex50905.1
tam,urn:cite:perseus:latlexent.lex50976.1
tamen,urn:cite:perseus:latlexent.lex50981.1
tantus,urn:cite:perseus:latlexent.lex51006.1
tat,urn:cite:perseus:latlexent.lex51039.1
tectum,urn:cite:perseus:latlexent.lex51091.1
tego,urn:cite:perseus:latlexent.lex51105.1
templum,urn:cite:perseus:latlexent.lex51168.1
tempus,urn:cite:perseus:latlexent.lex51184.1
teneo,urn:cite:perseus:latlexent.lex51212.1
ter,urn:cite:perseus:latlexent.lex51266.1
terra,urn:cite:perseus:latlexent.lex51320.1
tertius,urn:cite:perseus:latlexent.lex51369.1
testamentum,urn:cite:perseus:latlexent.lex51391.1
theatrum,urn:cite:perseus:latlexent.lex51493.1
theca,urn:cite:perseus:latlexent.lex51494.1
thermae,urn:cite:perseus:latlexent.lex51514.1
titulo,urn:cite:perseus:latlexent.lex51670.1
titulus,urn:cite:perseus:latlexent.lex51671.1
trado,urn:cite:perseus:latlexent.lex51866.1
transeo,urn:cite:perseus:latlexent.lex51962.1
transfero,urn:cite:perseus:latlexent.lex51966.1
tribunicius,urn:cite:perseus:latlexent.lex52180.1
tribunus,urn:cite:perseus:latlexent.lex52181.1
triceni,urn:cite:perseus:latlexent.lex52196.1
triduum,urn:cite:perseus:latlexent.lex52238.1
triumphus,urn:cite:perseus:latlexent.lex52401.1
tropaeum,urn:cite:perseus:latlexent.lex52425.1
tropaeus,urn:cite:perseus:latlexent.lex52426.1
tu,urn:cite:perseus:latlexent.lex52472.1
tuus,urn:cite:perseus:latlexent.lex52651.1
tyrannus,urn:cite:perseus:latlexent.lex52675.1
ulciscor,urn:cite:perseus:latlexent.lex52704.1
uno,urn:cite:perseus:latlexent.lex52925.1
unus,urn:cite:perseus:latlexent.lex52929.1
urbanus,urn:cite:perseus:latlexent.lex52941.1
urbs,urn:cite:perseus:latlexent.lex52946.1
ut,urn:cite:perseus:latlexent.lex53023.1
uti,urn:cite:perseus:latlexent.lex53040.1
uto,urn:cite:perseus:latlexent.lex53049.1
utor,urn:cite:perseus:latlexent.lex53050.1
uxor,urn:cite:perseus:latlexent.lex53085.1
uxorius,urn:cite:perseus:latlexent.lex53087.1
valeo,urn:cite:perseus:latlexent.lex53148.1
valeria,urn:cite:perseus:latlexent.lex53149.1
valgus,urn:cite:perseus:latlexent.lex53155.1
valles,urn:cite:perseus:latlexent.lex53161.1
vallus,urn:cite:perseus:latlexent.lex53169.1
varus,urn:cite:perseus:latlexent.lex53231.1
varus,urn:cite:perseus:latlexent.lex53232.1
vehes,urn:cite:perseus:latlexent.lex53309.1
veho,urn:cite:perseus:latlexent.lex53313.1
venustus,urn:cite:perseus:latlexent.lex53450.1
ver,urn:cite:perseus:latlexent.lex53457.1
vero,urn:cite:perseus:latlexent.lex53544.1
verso,urn:cite:perseus:latlexent.lex53577.1
versor,urn:cite:perseus:latlexent.lex53578.1
verum,urn:cite:perseus:latlexent.lex53607.1
verum,urn:cite:perseus:latlexent.lex53608.1
verus,urn:cite:perseus:latlexent.lex53611.1
vetus,urn:cite:perseus:latlexent.lex53695.1
vexillarius,urn:cite:perseus:latlexent.lex53710.1
via,urn:cite:perseus:latlexent.lex53715.1
victor,urn:cite:perseus:latlexent.lex53779.1
vidua,urn:cite:perseus:latlexent.lex53797.1
viduo,urn:cite:perseus:latlexent.lex53803.1
viduus,urn:cite:perseus:latlexent.lex53804.1
vilicus,urn:cite:perseus:latlexent.lex53842.1
vinco,urn:cite:perseus:latlexent.lex53883.1
vinculo,urn:cite:perseus:latlexent.lex53890.1
vinculum,urn:cite:perseus:latlexent.lex53891.1
violentia,urn:cite:perseus:latlexent.lex53939.1
vir,urn:cite:perseus:latlexent.lex53948.1
vira,urn:cite:perseus:latlexent.lex53949.1
virgo,urn:cite:perseus:latlexent.lex53974.1
virtus,urn:cite:perseus:latlexent.lex54012.1
virus,urn:cite:perseus:latlexent.lex54016.1
vis,urn:cite:perseus:latlexent.lex54017.1
viso,urn:cite:perseus:latlexent.lex54043.1
vita,urn:cite:perseus:latlexent.lex54052.1
vito,urn:cite:perseus:latlexent.lex54091.1
vivo,urn:cite:perseus:latlexent.lex54134.1
vix,urn:cite:perseus:latlexent.lex54136.1
volvo,urn:cite:perseus:latlexent.lex54244.1
votum,urn:cite:perseus:latlexent.lex54282.1
voveo,urn:cite:perseus:latlexent.lex54284.1
vulgaris,urn:cite:perseus:latlexent.lex54286.1
vulgo,urn:cite:perseus:latlexent.lex54296.1
