Location,Tags
"urn:cite:shot:epigimg.IMG_5214@0.56,0.6253,0.352,0.064",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_5214@0.383,0.3907,0.122,0.056",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_5214@0.611,0.3827,0.197,0.0613",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_5214@0.8,0.3827,0.152,0.0587",urn:cite:hclat:topic.datsg3
"urn:cite:shot:epigimg.IMG_5214@0.465,0.46,0.095,0.0413",urn:cite:hclat:topic.datsg3
"urn:cite:shot:epigimg.IMG_5214@0.553,0.4573,0.14,0.044",urn:cite:hclat:topic.prep
"urn:cite:shot:epigimg.IMG_5214@0.686,0.4587,0.117,0.04",urn:cite:hclat:topic.genpl3
"urn:cite:shot:epigimg.IMG_5214@0.794,0.456,0.16,0.0413",urn:cite:hclat:topic.prep
"urn:cite:shot:epigimg.IMG_5214@0.819,0.456,0.135,0.0413",urn:cite:hclat:topic.ablsg1
"urn:cite:shot:epigimg.IMG_5214@0.588,0.488,0.126,0.0413",urn:cite:hclat:topic.compadj
"urn:cite:shot:epigimg.IMG_5214@0.588,0.488,0.126,0.0413",urn:cite:hclat:topic.ablsg3
"urn:cite:shot:epigimg.IMG_5214@0.826,0.488,0.134,0.0427",urn:cite:hclat:topic.gensg1
"urn:cite:shot:epigimg.IMG_5214@0.767,0.52,0.121,0.0373",urn:cite:hclat:topic.gensg3
"urn:cite:shot:epigimg.IMG_5214@0.88,0.52,0.086,0.0373",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_5214@0.415,0.5493,0.149,0.0387",urn:cite:hclat:topic.gensg1
"urn:cite:shot:epigimg.IMG_5214@0.675,0.5467,0.237,0.0413",urn:cite:hclat:topic.prep
"urn:cite:shot:epigimg.IMG_5214@0.707,0.5467,0.095,0.0413",urn:cite:hclat:topic.accsg1
"urn:cite:shot:epigimg.IMG_5214@0.815,0.5467,0.096,0.036",urn:cite:hclat:topic.accsg1
"urn:cite:shot:epigimg.IMG_5214@0.366,0.624,0.201,0.0667",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_5215@0.114,0.568,0.102,0.0733",urn:cite:hclat:topic.gensg2
"urn:cite:shot:epigimg.IMG_5215@0.215,0.572,0.175,0.0733",urn:cite:hclat:topic.gensg2
"urn:cite:shot:epigimg.IMG_5215@0.399,0.58,0.128,0.0733",urn:cite:hclat:topic.ablsg4
"urn:cite:shot:epigimg.IMG_5215@0.527,0.58,0.186,0.0733",urn:cite:hclat:topic.gensg3
"urn:cite:shot:epigimg.IMG_5215@0.708,0.576,0.197,0.0787",urn:cite:hclat:topic.pftactind
"urn:cite:shot:epigimg.IMG_5216@0.298,0.212,0.325,0.2307",urn:cite:hclat:topic.datsg3
"urn:cite:shot:epigimg.IMG_5216@0.609,0.3213,0.158,0.1587",urn:cite:hclat:topic.gensg2
"urn:cite:shot:epigimg.IMG_5216@0.31,0.38,0.317,0.1587",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_5217@0.4124,0.1538,0.3884,0.072",urn:cite:hclat:topic.datsg3
"urn:cite:shot:epigimg.IMG_5218@0.067,0.4107,0.303,0.148",urn:cite:hclat:topic.ntpl
"urn:cite:shot:epigimg.IMG_5218@0.69,0.476,0.192,0.0947",urn:cite:hclat:topic.ntpl
"urn:cite:shot:epigimg.IMG_5218@0.69,0.476,0.192,0.0947",urn:cite:hclat:topic.hic
"urn:cite:shot:epigimg.IMG_5218@0.364,0.452,0.137,0.0947",urn:cite:hclat:topic.gensg2
"urn:cite:shot:epigimg.IMG_5218@0.496,0.4613,0.202,0.0947",urn:cite:hclat:topic.presactindir
"urn:cite:shot:epigimg.IMG_5219@0.171,0.4467,0.211,0.1387",urn:cite:hclat:topic.gensg2
"urn:cite:shot:epigimg.IMG_5219@0.283,0.5493,0.493,0.1173",urn:cite:hclat:topic.presactimp3
"urn:cite:shot:epigimg.IMG_5219@0.325,0.6387,0.428,0.12",urn:cite:hclat:topic.prep
"urn:cite:shot:epigimg.IMG_5219@0.52,0.6387,0.233,0.096",urn:cite:hclat:topic.datplpro
"urn:cite:shot:epigimg.IMG_5220@0.059,0.3427,0.328,0.1707",urn:cite:hclat:topic.hic
"urn:cite:shot:epigimg.IMG_5220@0.81,0.3533,0.161,0.1707",urn:cite:hclat:topic.gensg2
"urn:cite:shot:epigimg.IMG_5239@0.22,0.4093,0.3,0.0853",urn:cite:hclat:topic.ger
"urn:cite:shot:epigimg.IMG_5239@0.22,0.4093,0.3,0.0853",urn:cite:hclat:topic.accsg2
"urn:cite:shot:epigimg.IMG_5239@0.51,0.424,0.3,0.0853",urn:cite:hclat:topic.pftactind
"urn:cite:shot:epigimg.IMG_5239@0.752,0.4973,0.208,0.0853",urn:cite:hclat:topic.pftactind
"urn:cite:shot:epigimg.IMG_5304@0.3143,0.2438,0.5175,0.0908",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_5304@0.2693,0.3271,0.4955,0.0825",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_5304@0.2603,0.4074,0.4224,0.0705",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_5304@0.2543,0.4689,0.2603,0.0705",urn:cite:hclat:topic.gensg1
"urn:cite:shot:epigimg.IMG_5304@0.2533,0.5296,0.2603,0.0705",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_5304@0.5075,0.5446,0.2713,0.0645",urn:cite:hclat:topic.gensg2
"urn:cite:shot:epigimg.IMG_5304@0.3614,0.6744,0.3904,0.0863",urn:cite:hclat:topic.prep
"urn:cite:shot:epigimg.IMG_5304@0.3604,0.7119,0.2272,0.0435",urn:cite:hclat:topic.ablsg1
"urn:cite:shot:epigimg.IMG_5305@0.2803,0.5086,0.4344,0.0698",urn:cite:hclat:topic.pftactind
"urn:cite:shot:epigimg.IMG_5309@0.2753,0.3706,0.5205,0.1133",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_5309@0.2973,0.4554,0.4454,0.0953",urn:cite:hclat:topic.gensg3
"urn:cite:shot:epigimg.IMG_5309@0.2823,0.6174,0.4454,0.0885",urn:cite:hclat:topic.pftpaspart
"urn:cite:shot:epigimg.IMG_5312@0.194,0.3907,0.413,0.1547",urn:cite:hclat:topic.pftpaspart
"urn:cite:shot:epigimg.IMG_5312@0.287,0.44,0.627,0.1707",urn:cite:hclat:topic.date
"urn:cite:shot:epigimg.IMG_5312@0.086,0.5333,0.269,0.132",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_5312@0.483,0.5973,0.383,0.152",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_5314@0.32,0.284,0.411,0.16",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_5314@0.137,0.48,0.377,0.148",urn:cite:hclat:topic.gensg1
"urn:cite:shot:epigimg.IMG_5314@0.502,0.5893,0.248,0.112",urn:cite:hclat:topic.gensg3
"urn:cite:shot:epigimg.IMG_5359@0.211,0.1773,0.268,0.1333",urn:cite:hclat:topic.prep
"urn:cite:shot:epigimg.IMG_5359@0.333,0.1773,0.146,0.1333",urn:cite:hclat:topic.hic
"urn:cite:shot:epigimg.IMG_5359@0.238,0.4307,0.146,0.1333",urn:cite:hclat:topic.presactinfinir
"urn:cite:shot:epigimg.IMG_5359@0.29,0.7853,0.372,0.1333",urn:cite:hclat:topic.adv
"urn:cite:shot:epigimg.IMG_5759@0.14,0.216,0.257,0.132",urn:cite:hclat:topic.datsg3
"urn:cite:shot:epigimg.IMG_5759@0.383,0.228,0.334,0.132",urn:cite:hclat:topic.gensg3
"urn:cite:shot:epigimg.IMG_5759@0.083,0.3333,0.188,0.0773",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_5759@0.454,0.3413,0.188,0.0773",urn:cite:hclat:topic.gensg1
"urn:cite:shot:epigimg.IMG_5784@0.488,0.4813,0.33,0.0587",urn:cite:hclat:topic.presactpart
"urn:cite:shot:epigimg.IMG_5785@0.337,0.54,0.236,0.1",urn:cite:hclat:topic.hic
"urn:cite:shot:epigimg.IMG_5787@0.4,0.3813,0.527,0.0613",urn:cite:hclat:topic.genpl2
"urn:cite:shot:epigimg.IMG_5787@0.161,0.4173,0.626,0.0613",urn:cite:hclat:topic.genpl2
"urn:cite:shot:epigimg.IMG_5794@0.071,0.444,0.397,0.0773",urn:cite:hclat:topic.gensg2
"urn:cite:shot:epigimg.IMG_5794@0.071,0.444,0.397,0.0773",urn:cite:hclat:topic.dimin
"urn:cite:shot:epigimg.IMG_5795@0.406,0.1147,0.226,0.1067",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_5795@0.502,0.1973,0.186,0.1067",urn:cite:hclat:topic.datsg2
