urn:cite:shot:epigimg.IMG_7128,Naples Archaeological Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7129,Naples Archaeological Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7130,Naples Archaeological Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7131,Naples Archaeological Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7132,Naples Archaeological Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7133,Naples Archaeological Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7253,"Piazza di Montecitorio, horologium of Augustus","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7635,Capitoline Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7636,Capitoline Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7638,Capitoline Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7639,Capitoline Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7640,Capitoline Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7641,Capitoline Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7642,Capitoline Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7643,Capitoline Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7645,Capitoline Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7935,Piazza della Bocca della Verita,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7992,San Silvestro,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7993,San Silvestro,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7994,San Silvestro,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7995,San Silvestro,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7996,San Silvestro,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7997,San Silvestro,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_7999,San Silvestro,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_8000,San Silvestro,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
